Area	Textura	Sistema	Profundidade	Agregado	Replicate	P_Labil	P_nao_Labil	 P_Lab_Per	P_total
SaoCarlos	media	ICLF1.5	0_5	grande	1	9.48	389.56	2.38	399.04
SaoCarlos	media	ICLF1.5	0_5	grande	2	9.69	407.18	2.33	416.87
SaoCarlos	media	ICLF1.5	0_5	grande	3	10.01	440.03	2.23	450.04
SaoCarlos	media	ICLF7.5	0_5	grande	1	14.06	471.42	2.90	485.48
SaoCarlos	media	ICLF7.5	0_5	grande	2	12.89	402.09	3.11	414.98
SaoCarlos	media	ICLF7.5	0_5	grande	3	12.68	352.01	3.48	364.69
SaoCarlos	media	ILF1.5	0_5	grande	1	12.68	481.48	2.57	494.15
SaoCarlos	media	ILF1.5	0_5	grande	2	13.53	445.59	2.95	459.11
SaoCarlos	media	ILF1.5	0_5	grande	3	13.42	484.64	2.69	498.07
SaoCarlos	media	ILF7.5	0_5	grande	1	10.65	321.95	3.20	332.60
SaoCarlos	media	ILF7.5	0_5	grande	2	9.80	365.80	2.61	375.60
SaoCarlos	media	ILF7.5	0_5	grande	3	10.01	348.89	2.79	358.90
SaoCarlos	media	ICL 	0_5	grande	1	12.04	325.76	3.56	337.80
SaoCarlos	media	ICL 	0_5	grande	2	11.61	345.57	3.25	357.18
SaoCarlos	media	ICL 	0_5	grande	3	11.40	326.28	3.38	337.68
SaoCarlos	media	RP	0_5	grande	1	15.45	259.36	5.62	274.80
SaoCarlos	media	RP	0_5	grande	2	13.85	294.21	4.50	308.06
SaoCarlos	media	RP	0_5	grande	3	14.38	275.68	4.96	290.06
SaoCarlos	media	EP	0_5	grande	1	6.39	176.64	3.49	183.03
SaoCarlos	media	EP	0_5	grande	2	5.54	141.32	3.77	146.86
SaoCarlos	media	EP	0_5	grande	3	5.75	179.04	3.11	184.79
SaoCarlos	media	ANV	0_5	grande	1	4.90	93.36	4.99	98.26
SaoCarlos	media	ANV	0_5	grande	2	4.15	97.98	4.07	102.13
SaoCarlos	media	ANV	0_5	grande	3	5.54	70.53	7.28	76.07
SaoCarlos	media	ICLF1.5	0_5	macro	1	10.65	400.40	2.59	411.06
SaoCarlos	media	ICLF1.5	0_5	macro	2	12.78	378.15	3.27	390.93
SaoCarlos	media	ICLF1.5	0_5	macro	3	18.22	388.65	4.48	406.87
SaoCarlos	media	ICLF7.5	0_5	macro	1	12.89	187.13	6.44	200.02
SaoCarlos	media	ICLF7.5	0_5	macro	2	19.49	177.96	9.87	197.45
SaoCarlos	media	ICLF7.5	0_5	macro	3	17.47	192.54	8.32	210.01
SaoCarlos	media	ILF1.5	0_5	macro	1	18.75	212.80	8.10	231.55
SaoCarlos	media	ILF1.5	0_5	macro	2	19.81	271.73	6.80	291.54
SaoCarlos	media	ILF1.5	0_5	macro	3	19.28	266.73	6.74	286.01
SaoCarlos	media	ILF7.5	0_5	macro	1	16.09	216.04	6.93	232.13
SaoCarlos	media	ILF7.5	0_5	macro	2	18.32	227.61	7.45	245.93
SaoCarlos	media	ILF7.5	0_5	macro	3	18.22	209.83	7.99	228.05
SaoCarlos	media	ICL 	0_5	macro	1	16.51	242.74	6.37	259.25
SaoCarlos	media	ICL 	0_5	macro	2	18.75	270.96	6.47	289.71
SaoCarlos	media	ICL 	0_5	macro	3	17.04	269.60	5.95	286.64
SaoCarlos	media	RP	0_5	macro	1	17.47	162.75	9.69	180.22
SaoCarlos	media	RP	0_5	macro	2	18.96	200.81	8.63	219.77
SaoCarlos	media	RP	0_5	macro	3	19.39	183.82	9.54	203.21
SaoCarlos	media	EP	0_5	macro	1	8.10	162.10	4.76	170.20
SaoCarlos	media	EP	0_5	macro	2	7.56	141.05	5.09	148.61
SaoCarlos	media	EP	0_5	macro	3	7.24	138.64	4.97	145.88
SaoCarlos	media	ANV	0_5	macro	1	9.37	96.32	8.87	105.69
SaoCarlos	media	ANV	0_5	macro	2	10.23	130.62	7.26	140.85
SaoCarlos	media	ANV	0_5	macro	3	10.65	109.99	8.83	120.64
SaoCarlos	media	ICLF1.5	0_5	micro	1	15.13	594.11	2.48	609.24
